,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108763,0.7863888740539551,12098397,0.7124999761581421,4018437,0.7119444444444445,1305965
1,1,1,217115,0.8480555415153503,16954356,0.7927777767181396,5649691,0.7938888888888889,1422276
2,2,2,325575,0.6980555653572083,1138419,0.7536110877990723,408479,0.7533333333333333,413998
3,3,3,434143,0.8824999928474426,18143991,0.815833330154419,6058587,0.8130555555555555,1209497
4,4,4,542819,0.8777777552604675,15743825,0.8494444489479065,5242056,0.8513888888888889,211563
5,5,5,651603,0.8577777743339539,19382286,0.7747222185134888,6467349,0.7866666666666666,604815
6,6,6,760495,0.8969444632530212,13290128,0.8527777791023254,4425445,0.8519444444444444,822650
7,7,7,869495,0.9272222518920898,2428344,0.7447222471237183,810386,0.745,1602896
8,8,8,978603,0.9352777600288392,9670514,0.8747222423553467,3206593,0.8755555555555555,1506517
9,9,9,1087819,0.928333342075348,8419221,0.8955555558204651,2802202,0.8955555555555555,727017
10,10,10,1197143,0.9302777647972108,7214000,0.8813889026641846,2399956,0.8811111111111111,108480
11,11,11,1306575,0.944166660308838,4816271,0.6886110901832581,1602295,0.6883333333333334,922947
12,12,12,1416115,0.9397222399711608,6006313,0.8561111092567444,1999475,0.8558333333333333,521957
13,13,13,1525763,0.9269444346427916,10811967,0.8747222423553467,3611970,0.8741666666666666,1110237
14,14,14,1635519,0.9700000286102296,3615893,0.7391666769981384,1208092,0.7386111111111111,313861
15,15,15,1745383,0.9686111211776732,14509294,0.8811110854148865,4833789,0.8758333333333334,1018526
