,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108715,0.8333333134651184,11775214,0.9372222423553468,4002110,0.9369444444444445,1083709
1,1,1,216947,0.8772222399711609,14133976,0.9086111187934875,4811597,0.9055555555555556,1293724
2,2,2,325215,0.879444420337677,8348258,0.918055534362793,2793033,0.9183333333333333,415250
3,3,3,433519,0.9097222089767456,4749017,0.9019444584846495,1598046,0.9022222222222223,312773
4,4,4,541859,0.921388864517212,10822839,0.9008333086967468,3598410,0.9011111111111111,1173545
5,5,5,650235,0.9205555319786072,16757451,0.8869444727897644,5620669,0.8905555555555555,808975
6,6,6,758647,0.9463889002799988,1216195,0.8322222232818604,406488,0.8322222222222222,206903
7,7,7,867095,0.946666657924652,18019183,0.7722222208976746,6025625,0.7686111111111111,108434
8,8,8,975579,0.9552778005599976,12792982,0.8083333373069763,4406336,0.8083333333333333,919458
9,9,9,1084099,0.9636111259460448,2375137,0.8433333039283752,807616,0.8425,1473629
10,10,10,1192655,0.9438889026641846,6864507,0.863611102104187,2391807,0.8633333333333333,1009156
11,11,11,1301247,0.962499976158142,5896349,0.8119444251060486,1993222,0.8127777777777778,1385994
12,12,12,1409875,0.9697222113609314,19148438,0.9200000166893004,6429382,0.9211111111111111,715566
13,13,13,1518539,0.9652777910232544,9510473,0.879444420337677,3194826,0.8788888888888889,500660
14,14,14,1627239,0.968055546283722,3570905,0.9047222137451172,1204626,0.9047222222222222,1580395
15,15,15,1735975,0.9780555367469788,15549095,0.9252777695655824,5215902,0.9252777777777778,605319
