,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108715,0.4913888871669769,11847944,0.9458333253860474,4002195,0.9461111111111111,1076760
1,1,1,216947,0.8152777552604675,13504599,0.8322222232818604,4811248,0.8316666666666667,1301541
2,2,2,325215,0.894444465637207,8074788,0.8697222471237183,2792449,0.87,408886
3,3,3,433519,0.8730555772781372,4405284,0.8072222471237183,1596682,0.8075,308178
4,4,4,541859,0.9247221946716307,9656025,0.695277750492096,3598483,0.6947222222222222,1188673
5,5,5,650235,0.92166668176651,16092162,0.9241666793823242,5620277,0.9225,790733
6,6,6,758647,0.914722204208374,1088102,0.4088888764381408,406311,0.4091666666666667,209772
7,7,7,867095,0.9477777481079102,17939065,0.9375,6025580,0.9358333333333333,107586
8,8,8,975579,0.9266666769981384,12992513,0.8069444298744202,4407240,0.8072222222222222,872665
9,9,9,1084099,0.9502778053283693,2417701,0.715833306312561,807654,0.7158333333333333,1493338
10,10,10,1192655,0.9700000286102296,6966604,0.8163889050483704,2392280,0.8169444444444445,992023
11,11,11,1301247,0.9508333206176758,5974553,0.8849999904632568,1992947,0.8844444444444445,1383878
12,12,12,1409875,0.9494444727897644,18862894,0.8527777791023254,6429653,0.8555555555555555,706244
13,13,13,1518539,0.9572222232818604,9157732,0.9305555820465088,3195322,0.9297222222222222,509898
14,14,14,1627239,0.9830555319786072,3310250,0.8138889074325562,1204551,0.8144444444444444,1574857
15,15,15,1735975,0.9597222208976746,15415309,0.8272222280502319,5216387,0.8297222222222222,608749
