,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108739,0.7188888788223267,12002178,0.8980555534362793,4010191,0.8983333333333333,1105197
1,1,1,217031,0.6652777791023254,3424991,0.6102777719497681,1206342,0.6088888888888889,311246
2,2,2,325395,0.8347222208976746,18201522,0.9627777934074402,6041740,0.9633333333333334,922200
3,3,3,433831,0.9191666841506958,19358046,0.9355555772781372,6448346,0.9363888888888889,107731
4,4,4,542339,0.9166666865348816,13129118,0.8558333516120911,4416386,0.855,1313114
5,5,5,650919,0.9369444251060486,1212278,0.6211110949516296,407422,0.6213888888888889,715186
6,6,6,759571,0.9369444251060486,15692825,0.7458333373069763,5229069,0.7363888888888889,817169
7,7,7,868295,0.945555567741394,10838030,0.8847222328186035,3604571,0.8844444444444445,1409360
8,8,8,977091,0.945277750492096,7221438,0.9411110877990724,2395945,0.9408333333333333,410284
9,9,9,1085959,0.912500023841858,8403024,0.9038888812065125,2797900,0.9036111111111111,210359
10,10,10,1194899,0.9638888835906982,9646133,0.7722222208976746,3200842,0.7719444444444444,1207732
11,11,11,1303911,0.9825000166893004,4759891,0.8927778005599976,1600328,0.8927777777777778,614145
12,12,12,1412995,0.9552778005599976,14489190,0.9494444727897644,4822695,0.9469444444444445,520746
13,13,13,1522151,0.9616666436195374,2253298,0.7502777576446533,808983,0.7494444444444445,1579936
14,14,14,1631379,0.9722222089767456,16928913,0.8919444680213928,5635097,0.8922222222222222,1023235
15,15,15,1740679,0.9719444513320924,5988404,0.7208333611488342,1996257,0.7208333333333333,1504324
