,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108739,0.8119444251060486,12057600,0.8361111283302307,4010180,0.8366666666666667,1104015
1,1,1,217031,0.5305555462837219,3620919,0.7827777862548828,1206526,0.7827777777777778,305669
2,2,2,325395,0.8177777528762817,18134382,0.8061110973358154,6042314,0.8044444444444444,923665
3,3,3,433831,0.8936111330986023,19271042,0.8472222089767456,6449075,0.8516666666666667,108951
4,4,4,542339,0.8883333206176758,13287181,0.9122222065925598,4416343,0.9083333333333333,1299176
5,5,5,650919,0.9333333373069764,1207287,0.8122222423553467,407473,0.8116666666666666,706661
6,6,6,759571,0.941944420337677,15748784,0.9277777671813964,5229027,0.9288888888888889,811008
7,7,7,868295,0.9633333086967468,10794968,0.9444444179534912,3604853,0.9447222222222222,1397343
8,8,8,977091,0.9630555510520936,7208672,0.8755555748939514,2396780,0.8747222222222222,402797
9,9,9,1085959,0.9563888907432556,8288530,0.8725000023841858,2797495,0.8725,209454
10,10,10,1194899,0.9688888788223268,9626235,0.9361110925674438,3200904,0.9361111111111111,1209363
11,11,11,1303911,0.9583333134651184,4744051,0.8602777719497681,1600177,0.8605555555555555,619133
12,12,12,1412995,0.9549999833106996,14379238,0.8650000095367432,4822585,0.8669444444444444,512238
13,13,13,1522151,0.9152777791023254,2394698,0.6102777719497681,809050,0.61,1594769
14,14,14,1631379,0.9491666555404664,16923479,0.9066666960716248,5635461,0.9033333333333333,1029596
15,15,15,1740679,0.9580555558204652,5985018,0.5438888669013977,1996430,0.5447222222222222,1507392
