Parameter Count,Model Accuracy
108763,0.3799999952316284
217115,0.8269444704055786
325575,0.5488888621330261
434143,0.8611111044883728
542819,0.8586111068725586
651603,0.9269444346427917
760495,0.8258333206176758
869495,0.9227777719497681
978603,0.8602777719497681
1087819,0.9413889050483704
1197143,0.9383333325386047
1306575,0.9358333349227905
1416115,0.8752777576446533
1525763,0.9505555629730225
1635519,0.9672222137451172
1745383,0.9494444727897644
