,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,108715,0.6633333563804626,11742160,0.8597221970558167,4001993,0.5480555555555555,1070089
1,1,216947,0.769444465637207,13567054,0.7030555605888367,4810950,0.8836111111111111,1283898
2,2,325215,0.8777777552604675,8157821,0.8288888931274414,2793301,0.8886111111111111,411907
3,3,433519,0.9127777814865112,4435090,0.8788889050483704,1596812,0.8277777777777777,309501
4,4,541859,0.922777771949768,10682455,0.8519444465637207,3598508,0.9027777777777778,1175127
5,5,650235,0.9530555605888368,16301323,0.6558333039283752,5620427,0.8913888888888889,803255
6,6,758647,0.9325000047683716,847172,0.644444465637207,406283,0.6275,207991
7,7,867095,0.95333331823349,17668516,0.8752777576446533,6025264,0.5413888888888889,105472
8,8,975579,0.9438889026641846,12809541,0.8100000023841858,4406923,0.8894444444444445,895953
9,9,1084099,0.9480555653572084,2013403,0.8030555844306946,807657,0.8144444444444444,1479454
10,10,1192655,0.948888897895813,7173589,0.941944420337677,2392664,0.8677777777777778,1023909
11,11,1301247,0.9594444632530212,5620457,0.8338888883590698,1991978,0.7713888888888889,1396667
12,12,1409875,0.9633333086967468,19011995,0.9086111187934875,6429528,0.6566666666666666,713922
13,13,1518539,0.9574999809265136,9478588,0.9133333563804626,3195453,0.9644444444444444,509848
14,14,1627239,0.9594444632530212,3532299,0.9105555415153505,1204690,0.8330555555555555,1588111
15,15,1735975,0.9649999737739564,15380306,0.9113888740539552,5216324,0.8783333333333333,593753
